[0.2934017] [0.52187245] [0.76359542] [1.02013216] [1.27830956] [1.54441551] [1.81517032] [2.11273908] [2.45445975] [2.81839725] [3.20410904] [3.64538896] [4.35170329] [5.31675672] [6.79452085] [8.46657321] [11.17778262] [15.81227081] [24.8605733] [38.13457233] [0.78563912] 
[0.27873161] [0.49577882] [0.72541565] [0.96912555] [1.21439408] [1.46719473] [1.7244118] [2.00710213] [2.33173677] [2.67747739] [3.04390359] [3.46311951] [4.13411813] [5.05091888] [6.4547948] [8.04324455] [10.61889349] [15.02165727] [23.61754463] [36.22784372] [0.74635716] 
[0.26479503] [0.47098988] [0.68914487] [0.92066927] [1.15367438] [1.393835] [1.63819121] [1.90674702] [2.21514993] [2.54360352] [2.89170841] [3.28996354] [3.92741222] [4.79837294] [6.13205506] [7.64108232] [10.08794881] [14.2705744] [22.4366674] [34.41645153] [0.70903931] 
[0.25155528] [0.44744039] [0.65468762] [0.87463581] [1.09599066] [1.32414325] [1.55628165] [1.81140967] [2.10439243] [2.41642334] [2.74712299] [3.12546536] [3.73104161] [4.55845429] [5.82545231] [7.25902821] [9.58355137] [13.55704568] [21.31483403] [32.69562895] [0.67358734] 
[0.23897752] [0.42506837] [0.62195324] [0.83090402] [1.04119113] [1.25793608] [1.47846757] [1.72083919] [1.99917281] [2.29560217] [2.60976684] [2.96919209] [3.54448953] [4.33053158] [5.53417969] [6.8960768] [9.1043738] [12.8791934] [20.24909233] [31.06084751] [0.63990797] 
[0.22702864] [0.40381495] [0.59085558] [0.78935882] [0.98913157] [1.19503928] [1.40454419] [1.63479723] [1.89921417] [2.18082207] [2.4792785] [2.82073249] [3.36726505] [4.114005] [5.25747071] [6.55127296] [8.64915511] [12.23523373] [19.23663771] [29.50780513] [0.60791258] 
[0.21567721] [0.3836242] [0.5613128] [0.74989088] [0.93967499] [1.13528732] [1.33431698] [1.55305737] [1.80425346] [2.07178096] [2.35531457] [2.67969586] [3.1989018] [3.90830475] [4.99459717] [6.22370931] [8.21669736] [11.62347204] [18.27480583] [28.03241487] [0.57751695] 
[0.20489335] [0.36444299] [0.53324716] [0.71239633] [0.89269124] [1.07852295] [1.26760113] [1.4754045] [1.71404079] [1.96819191] [2.23754885] [2.54571107] [3.03895671] [3.71288951] [4.74486732] [5.91252384] [7.80586249] [11.04229844] [17.36106554] [26.63079413] [0.5486411] 
[0.19464868] [0.34622084] [0.5065848] [0.67677651] [0.84805668] [1.0245968] [1.20422107] [1.40163427] [1.62833875] [1.86978232] [2.1256714] [2.41842552] [2.88700888] [3.52724503] [4.50762395] [5.61689765] [7.41556937] [10.49018352] [16.49301226] [25.29925442] [0.52120904] 
[0.18491625] [0.3289098] [0.48125556] [0.64293769] [0.80565385] [0.97336696] [1.14401002] [1.33155256] [1.54692181] [1.7762932] [2.01938783] [2.29750424] [2.74265843] [3.35088278] [4.28224275] [5.33605277] [7.0447909] [9.96567434] [15.66836165] [24.0342917] [0.49514859] 
[0.17567043] [0.31246431] [0.45719278] [0.6107908] [0.76537115] [0.92469861] [1.08680952] [1.26497493] [1.46957572] [1.68747854] [1.91841844] [2.18262903] [2.60552551] [3.18333864] [4.06813062] [5.06925013] [6.69255135] [9.46739062] [14.88494356] [22.83257712] [0.47039116] 
