Iteration: 464
[0.13442165] [0.25412195] [0.37119272] [0.4941631] [0.61927613] [0.80605837] [1.03198717] [1.18591626] [1.34578434] [1.53754693] [1.7774361] [2.01785949] [2.42168783] [3.03984588] [3.70521068] [4.82813233] [7.00942264] [12.23941402] [17.82285958] [25.09579478] [0.58465298] 
[0.12770057] [0.24141585] [0.35263308] [0.46945494] [0.58831233] [0.76575546] [0.98038781] [1.12662044] [1.27849513] [1.46066958] [1.68856429] [1.91696652] [2.30060344] [2.88785359] [3.51995014] [4.58672572] [6.6589515] [11.62744332] [16.9317166] [23.84100504] [0.55542033] 
[0.12131554] [0.22934506] [0.33500143] [0.44598219] [0.55889671] [0.72746768] [0.93136842] [1.07028942] [1.21457037] [1.3876361] [1.60413608] [1.82111819] [2.18557327] [2.74346091] [3.34395264] [4.35738943] [6.32600393] [11.04607115] [16.08513077] [22.64895479] [0.52764932] 
[0.11524977] [0.21787781] [0.31825136] [0.42368308] [0.53095187] [0.6910943] [0.8848] [1.01677495] [1.15384185] [1.3182543] [1.52392928] [1.73006228] [2.0762946] [2.60628786] [3.176755] [4.13951996] [6.00970373] [10.49376759] [15.28087423] [21.51650705] [0.50126685] 
[0.10948728] [0.20698392] [0.30233879] [0.40249893] [0.50440428] [0.65653958] [0.84056] [0.9659362] [1.09614976] [1.25234158] [1.44773281] [1.64355917] [1.97247987] [2.47597347] [3.01791725] [3.93254396] [5.70921855] [9.96907922] [14.51683052] [20.4406817] [0.47620351] 
[0.10401291] [0.19663472] [0.28722185] [0.38237398] [0.47918407] [0.6237126] [0.798532] [0.91763939] [1.04134227] [1.1897245] [1.37534617] [1.56138121] [1.87385588] [2.35217479] [2.86702139] [3.73591676] [5.42375762] [9.47062525] [13.790989] [19.41864761] [0.45239333] 
[0.09881227] [0.18680299] [0.27286076] [0.36325528] [0.45522486] [0.59252697] [0.7586054] [0.87175742] [0.98927516] [1.13023828] [1.30657886] [1.48331215] [1.78016309] [2.23456605] [2.72367032] [3.54912092] [5.15256974] [8.99709399] [13.10143955] [18.44771523] [0.42977367] 
[0.09387166] [0.17746284] [0.25921772] [0.34509252] [0.43246362] [0.56290063] [0.72067513] [0.82816955] [0.9398114] [1.07372636] [1.24124992] [1.40914654] [1.69115493] [2.12283775] [2.58748681] [3.37166488] [4.89494125] [8.54723929] [12.44636757] [17.52532947] [0.40828498] 
[0.08917807] [0.16858969] [0.24625683] [0.32783789] [0.41084044] [0.53475559] [0.68464137] [0.78676107] [0.89282083] [1.02004005] [1.17918742] [1.33868921] [1.60659719] [2.01669586] [2.45811247] [3.20308163] [4.65019419] [8.11987733] [11.82404919] [16.649063] [0.38787073] 
[0.08471917] [0.16016021] [0.23394399] [0.311446] [0.39029842] [0.50801781] [0.6504093] [0.74742302] [0.84817979] [0.96903804] [1.12022805] [1.27175475] [1.52626733] [1.91586107] [2.33520684] [3.04292755] [4.41768448] [7.71388346] [11.23284673] [15.81660985] [0.3684772] 
[0.08048321] [0.1521522] [0.22224679] [0.2958737] [0.3707835] [0.48261692] [0.61788884] [0.71005187] [0.8057708] [0.92058614] [1.06421665] [1.20816701] [1.44995396] [1.82006802] [2.2184465] [2.89078117] [4.19680026] [7.32818929] [10.67120439] [15.02577935] [0.35005334] 
[0.07645905] [0.14454459] [0.21113445] [0.28108001] [0.35224432] [0.45848608] [0.5869944] [0.67454928] [0.76548226] [0.87455683] [1.01100582] [1.14775866] [1.37745626] [1.72906462] [2.10752417] [2.74624212] [3.98696024] [6.96177982] [10.13764418] [14.27449039] [0.33255067] 
[0.0726361] [0.13731736] [0.20057773] [0.26702601] [0.3346321] [0.43556177] [0.55764468] [0.64082181] [0.72720815] [0.83082899] [0.96045553] [1.09037073] [1.30858345] [1.64261139] [2.00214797] [2.60893001] [3.78761223] [6.61369083] [9.63076197] [13.56076587] [0.31592314] 
[0.06900429] [0.13045149] [0.19054884] [0.25367471] [0.3179005] [0.41378368] [0.52976244] [0.60878072] [0.69084774] [0.78928754] [0.91243275] [1.03585219] [1.24315428] [1.56048082] [1.90204057] [2.47848351] [3.59823162] [6.28300629] [9.14922387] [12.88272757] [0.30012698] 
[0.06555408] [0.12392892] [0.1810214] [0.24099098] [0.30200547] [0.3930945] [0.50327432] [0.57834169] [0.65630535] [0.74982317] [0.86681111] [0.98405958] [1.18099656] [1.48245678] [1.80693854] [2.35455933] [3.41832004] [5.96885598] [8.69176267] [12.2385912] [0.28512063] 
[0.06227637] [0.11773247] [0.17197033] [0.22894143] [0.2869052] [0.37343978] [0.4781106] [0.5494246] [0.62349008] [0.71233201] [0.82347056] [0.93485661] [1.12194673] [1.40833394] [1.71659161] [2.23683137] [3.24740404] [5.67041318] [8.25717454] [11.62666164] [0.2708646] 
[0.05916256] [0.11184585] [0.16337181] [0.21749436] [0.27255994] [0.35476779] [0.45420507] [0.52195337] [0.59231558] [0.67671541] [0.78229703] [0.88811378] [1.0658494] [1.33791724] [1.63076203] [2.1249898] [3.08503383] [5.38689252] [7.84431581] [11.04532855] [0.25732137] 
[0.05620443] [0.10625356] [0.15520322] [0.20661964] [0.25893194] [0.3370294] [0.43149482] [0.4958557] [0.5626998] [0.64287964] [0.74318218] [0.84370809] [1.01255693] [1.27102138] [1.54922393] [2.01874031] [2.93078214] [5.11754789] [7.45210002] [10.49306213] [0.2444553] 
[0.05339421] [0.10094088] [0.14744306] [0.19628866] [0.24598535] [0.32017793] [0.40992008] [0.47106292] [0.53456481] [0.61073566] [0.70602307] [0.80152268] [0.96192908] [1.20747031] [1.47176273] [1.91780329] [2.78424304] [4.8616705] [7.07949502] [9.96840902] [0.23223254] 
[0.0507245] [0.09589383] [0.14007091] [0.18647422] [0.23368608] [0.30416903] [0.38942408] [0.44750977] [0.50783657] [0.58019887] [0.67072192] [0.76144655] [0.91383263] [1.14709679] [1.3981746] [1.82191313] [2.64503088] [4.61858697] [6.72552027] [9.46998857] [0.22062091] 
